idx,latency
0,0.0054166316986083984
1,0.006491184234619141
2,0.004553556442260742
3,0.004166603088378906
4,0.0060214996337890625
5,0.004642963409423828
6,0.0042459964752197266
7,0.005484104156494141
8,0.00500941276550293
9,0.0046024322509765625
10,0.0058269500732421875
11,0.005586862564086914
12,0.004784822463989258
13,0.005730152130126953
14,0.0055429935455322266
15,0.005686044692993164
16,0.005543947219848633
17,0.00554966926574707
18,0.004805088043212891
19,0.004790544509887695
20,0.004811286926269531
21,0.0044133663177490234
22,0.00524449348449707
23,0.0037407875061035156
24,0.004834175109863281
25,0.004661083221435547
26,0.004823207855224609
27,0.004738807678222656
28,0.004519462585449219
29,0.004373788833618164
30,0.005023002624511719
31,0.004735469818115234
32,0.00467681884765625
33,0.004456758499145508
34,0.004980564117431641
35,0.004793882369995117
36,0.0053081512451171875
37,0.005092144012451172
38,0.004612922668457031
39,0.0039479732513427734
40,0.005094051361083984
41,0.004956722259521484
42,0.0045702457427978516
43,0.005274295806884766
44,0.004915952682495117
45,0.004962444305419922
46,0.005162477493286133
47,0.005049467086791992
48,0.006426811218261719
49,0.005792856216430664
50,0.00950932502746582
51,0.0064830780029296875
52,0.00536036491394043
53,0.007241010665893555
54,0.006586551666259766
55,0.005396127700805664
56,0.00589442253112793
57,0.005711555480957031
58,0.004860877990722656
59,0.0049517154693603516
60,0.004750967025756836
61,0.004756927490234375
62,0.004660606384277344
63,0.0050678253173828125
64,0.004759311676025391
65,0.0052623748779296875
66,0.004701375961303711
67,0.0047380924224853516
68,0.005330801010131836
69,0.005025625228881836
70,0.0047566890716552734
71,0.004736900329589844
72,0.004784107208251953
73,0.0059528350830078125
74,0.007864713668823242
75,0.00646209716796875
76,0.0045545101165771484
77,0.005076408386230469
78,0.0048449039459228516
79,0.004839181900024414
80,0.004872560501098633
81,0.0048482418060302734
82,0.0047338008880615234
83,0.005172014236450195
84,0.005000591278076172
85,0.0045926570892333984
86,0.005368709564208984
87,0.004708290100097656
88,0.005789041519165039
89,0.005679130554199219
90,0.004812955856323242
91,0.007090330123901367
92,0.0059087276458740234
93,0.005314826965332031
94,0.00763249397277832
95,0.005612373352050781
96,0.005720853805541992
97,0.005419015884399414
98,0.005424976348876953
99,0.005837440490722656
100,0.004781246185302734
101,0.00453639030456543
102,0.005666494369506836
103,0.004961252212524414
104,0.0043070316314697266
105,0.00580596923828125
106,0.004857301712036133
107,0.004828453063964844
108,0.005780696868896484
109,0.004278659820556641
110,0.004656076431274414
111,0.00599360466003418
112,0.004606485366821289
113,0.00500178337097168
114,0.005855560302734375
115,0.005044698715209961
116,0.004702329635620117
117,0.005665779113769531
118,0.005393028259277344
119,0.005414247512817383
120,0.006032466888427734
121,0.0045430660247802734
122,0.005096912384033203
123,0.005991697311401367
124,0.004516124725341797
125,0.005207538604736328
126,0.005471229553222656
127,0.00432896614074707
128,0.006392717361450195
129,0.0059430599212646484
130,0.005500316619873047
131,0.006213665008544922
132,0.0044291019439697266
133,0.005106210708618164
134,0.005350351333618164
135,0.005090951919555664
136,0.004648447036743164
137,0.006230354309082031
138,0.005361795425415039
139,0.0046689510345458984
140,0.005593776702880859
141,0.004404544830322266
142,0.004751443862915039
143,0.005663156509399414
144,0.004154205322265625
145,0.00458073616027832
146,0.005674600601196289
147,0.00442957878112793
148,0.00447535514831543
149,0.005159616470336914
150,0.004441261291503906
151,0.0046346187591552734
152,0.004918575286865234
153,0.0061228275299072266
154,0.004685401916503906
155,0.00450444221496582
156,0.005316972732543945
157,0.004807710647583008
158,0.00477290153503418
159,0.005742549896240234
160,0.004761219024658203
161,0.005046844482421875
162,0.005405902862548828
163,0.004379749298095703
164,0.004963397979736328
165,0.0070035457611083984
166,0.004744529724121094
167,0.0057201385498046875
168,0.007539987564086914
169,0.005741119384765625
170,0.00592350959777832
171,0.004687070846557617
172,0.004716157913208008
173,0.0056231021881103516
174,0.004664897918701172
175,0.0046503543853759766
176,0.00554966926574707
177,0.004144430160522461
178,0.004791975021362305
179,0.005269289016723633
180,0.004962921142578125
181,0.004849672317504883
182,0.005318403244018555
183,0.004876136779785156
184,0.004817485809326172
185,0.004215240478515625
186,0.005629539489746094
187,0.00430607795715332
188,0.003973960876464844
189,0.0051915645599365234
190,0.0051250457763671875
191,0.005209445953369141
192,0.006616115570068359
193,0.0048749446868896484
194,0.0050122737884521484
195,0.005722999572753906
196,0.004769802093505859
197,0.005136728286743164
198,0.004981279373168945
199,0.005054950714111328
200,0.004567384719848633
201,0.005541801452636719
202,0.004326343536376953
203,0.004982471466064453
204,0.0063800811767578125
205,0.004540205001831055
206,0.0053253173828125
207,0.006327152252197266
208,0.0046350955963134766
209,0.005826711654663086
210,0.005828142166137695
211,0.004885196685791016
212,0.004647493362426758
213,0.005494832992553711
214,0.0043010711669921875
215,0.004674673080444336
216,0.005944490432739258
217,0.004339694976806641
218,0.00469517707824707
219,0.005723476409912109
220,0.004660844802856445
221,0.004633665084838867
222,0.005416393280029297
223,0.0053462982177734375
224,0.004818439483642578
225,0.0070247650146484375
226,0.004110813140869141
227,0.004669189453125
228,0.005275249481201172
229,0.005274772644042969
230,0.005253791809082031
231,0.00714421272277832
232,0.0045621395111083984
233,0.004853248596191406
234,0.004698038101196289
235,0.004830121994018555
236,0.004781246185302734
237,0.004548072814941406
238,0.004812955856323242
239,0.0049474239349365234
240,0.004996061325073242
241,0.005402565002441406
242,0.005742311477661133
243,0.005238771438598633
244,0.005572795867919922
245,0.0061376094818115234
246,0.005705833435058594
247,0.004759788513183594
248,0.005574464797973633
249,0.005800962448120117
250,0.0050318241119384766
251,0.00408482551574707
252,0.00436711311340332
253,0.0047991275787353516
254,0.004029512405395508
255,0.00455474853515625
256,0.004842519760131836
257,0.0045697689056396484
258,0.0044956207275390625
259,0.004865407943725586
260,0.004677772521972656
261,0.0048618316650390625
262,0.007569551467895508
263,0.004907369613647461
264,0.004999399185180664
265,0.004620075225830078
266,0.004384517669677734
267,0.005233287811279297
268,0.0047566890716552734
269,0.004869222640991211
270,0.005219459533691406
271,0.004700899124145508
272,0.004648685455322266
273,0.004774570465087891
274,0.004319667816162109
275,0.004611492156982422
276,0.004839420318603516
277,0.0048182010650634766
278,0.004538536071777344
279,0.004758358001708984
280,0.0048220157623291016
281,0.005924701690673828
282,0.00477910041809082
283,0.004656314849853516
284,0.004124641418457031
285,0.006090641021728516
286,0.005682706832885742
287,0.004827976226806641
288,0.007017612457275391
289,0.004593849182128906
290,0.0049839019775390625
291,0.004605293273925781
292,0.0048580169677734375
293,0.004911184310913086
294,0.0046885013580322266
295,0.004613637924194336
296,0.004734516143798828
297,0.004688739776611328
298,0.004710197448730469
299,0.004936933517456055
300,0.0046694278717041016
301,0.004781961441040039
302,0.005395650863647461
303,0.004659414291381836
304,0.004779815673828125
305,0.006284952163696289
306,0.014379739761352539
307,0.006807088851928711
308,0.008844137191772461
309,0.02218151092529297
310,0.016726016998291016
311,0.009127378463745117
312,0.008610963821411133
313,0.005738735198974609
314,0.007599592208862305
315,0.006121397018432617
316,0.006556987762451172
317,0.006706953048706055
318,0.005776643753051758
319,0.006875276565551758
320,0.005091428756713867
321,0.0050318241119384766
322,0.0048635005950927734
323,0.0040569305419921875
