timestamp,server,ip,run,mean_latency,stdev,min,max
2025-11-24T12:30:23.355240,Nginx,60.45.0.10,1,0.005347375392913818,0.0018877591473536464,0.0036773681640625,0.0247800350189209
2025-11-24T12:30:26.325964,Nginx,60.45.0.10,2,0.005002443790435791,0.02969697031926936,-0.5661568641662598,0.025067806243896484
2025-11-24T12:30:29.454368,Nginx,60.45.0.10,3,0.005437804222106934,0.0013548507075204536,0.0037088394165039062,0.012476444244384766
2025-11-24T12:30:32.412214,Nginx,60.45.0.10,4,0.00514011812210083,0.0012511837137728148,0.0035860538482666016,0.014408349990844727
2025-11-24T12:30:35.492905,Nginx,60.45.0.10,5,0.0053835387229919434,0.0014214351485546711,0.0032966136932373047,0.013324737548828125
2025-11-24T12:30:38.539257,Nginx,60.45.0.10,6,0.005273587703704834,0.0013821989267576713,0.003370046615600586,0.014710426330566406
2025-11-24T12:30:41.437122,Nginx,60.45.0.10,7,0.005062758922576904,0.0010599187004969664,0.003724336624145508,0.014183759689331055
2025-11-24T12:30:44.799428,Nginx,60.45.0.10,8,0.00588596248626709,0.002513008999925886,0.0036580562591552734,0.03031182289123535
2025-11-24T12:30:47.467648,Nginx,60.45.0.10,9,0.0046228675842285155,0.0013574216926604279,0.003071308135986328,0.015410423278808594
2025-11-24T12:30:49.962414,Nginx,60.45.0.10,10,0.004321645259857178,0.0024163896734072715,0.003099203109741211,0.054001808166503906
2025-11-24T12:30:55.154832,Apache,60.45.0.20,1,0.005537027835845947,0.018174959543812434,-0.3962366580963135,0.029515743255615234
2025-11-24T12:30:57.836071,Apache,60.45.0.20,2,0.005754408359527588,0.0033115582863347142,0.003475189208984375,0.055612802505493164
2025-11-24T12:31:00.734789,Apache,60.45.0.20,3,0.005068991661071777,0.0007911320549907803,0.003742694854736328,0.011002302169799805
2025-11-24T12:31:03.752034,Apache,60.45.0.20,4,0.0052878837585449215,0.001872188687273269,0.0038602352142333984,0.031195878982543945
2025-11-24T12:31:06.630322,Apache,60.45.0.20,5,0.005040505409240723,0.0008815941385046732,0.003664255142211914,0.013295412063598633
2025-11-24T12:31:09.533515,Apache,60.45.0.20,6,0.005075887680053711,0.0017823445916422928,0.003687143325805664,0.0359501838684082
2025-11-24T12:31:12.453732,Apache,60.45.0.20,7,0.005099255561828614,0.0012016265917924823,0.0037832260131835938,0.020478487014770508
2025-11-24T12:31:15.390576,Apache,60.45.0.20,8,0.005135229587554932,0.0012020830371969843,0.003639698028564453,0.015799522399902344
2025-11-24T12:31:18.337403,Apache,60.45.0.20,9,0.0051532149314880375,0.0012670313310690336,0.0037407875061035156,0.02218151092529297
2025-11-24T12:31:21.245783,Apache,60.45.0.20,10,0.005073570251464844,0.0010044618219498353,0.0036308765411376953,0.015750646591186523
